Name,Price,Publication,Description,Author
বাংলা ,380,Matrix MP3,,
ইংরেজি,430,Matrix MP4,,
গণিত,430,Matrix MP5,,
বাংলাদেশ,340,Matrix MP6,,
আন্তর্জাতিক,340,Matrix MP7,,
বিজ্ঞান,280,Matrix MP8,,
মানসিক,120,Matrix MP9,,
কম্পিউটার,200,Matrix MP10,,
ভূগোল,150,Matrix MP11,,
নৈতিকতা,120,Matrix MP12,,
লিটারেচার,150,Matrix MP13,,
ANNUAL JOB SOLUTION MCQ,350,Matrix MP14,,
বাংলা,380,জর্জ MP3,,
ইংরেেজি,430,জর্জ MP3,,
গণিত,420,জর্জ MP3,,
বাংলাদেশ,350,জর্জ MP3,,
আন্তর্জাতিক,350,জর্জ MP3,,
বিজ্ঞান,250,জর্জ MP3,,
মানসিক,240,জর্জ MP3,,
কম্পিউটার,240,জর্জ MP3,,
ভূগোল,150,জর্জ MP3,,
নৈতিকতা,120,জর্জ MP3,,
রবিউল ম্যাথ,300,জর্জ MP3,,
রবিউল ইংরেজি,400,জর্জ MP3,,
রবিউল জিকে,300,জর্জ MP3,,
রবিউল বাংলা,250,জর্জ MP3,,
ASPECT বাংলা,550,ASPECT SERIES,,
ASPECT পদার্থ,550,ASPECT SERIES,,
ASPECT কেমেস্ট্রি প্লাস,550,ASPECT SERIES,,
ASPECT ম্যাথ,550,ASPECT SERIES,,
ASPECT জীববিজ্ঞান,550,ASPECT SERIES,,
ASPECT জিকে,400,ASPECT SERIES,,
ASPECT ফার্মা নলেজ,360,ASPECT SERIES,,
ASPECT রাবি নলেজ মানসিক,390,ASPECT SERIES,,
ASPECT রাবি নলেজ বিজ্ঞান,360,ASPECT SERIES,,
ASPECT মেডিক্যাল জীববিজ্ঞান,560,ASPECT SERIES,,
ASPECT মেডিক্যাল পদার্থ,560,ASPECT SERIES,,
ASPECT মেডিক্যাল রসায়ন,560,ASPECT SERIES,,
ASPECT মেডিক্যাল জিকে,410,ASPECT SERIES,,
ASPECT মেডিক্যাল রিয়েল চর্চা,510,ASPECT SERIES,,
ASPECT মেডিক্যাল মডেল টেস্ট,310,ASPECT SERIES,,
ASPECT দি মেডিসিন,600,ASPECT SERIES,,
ASPECT ভার্সিটি সল্যুশন মানবিক,550,ASPECT SERIES,,
ASPECT ভার্সিটি সল্যুশন বিজ্ঞান,550,ASPECT SERIES,,
ASPECT নেটওয়ার্ক গুচ্ছ বিজ্ঞান,520,ASPECT SERIES,,
ASPECT নেটওয়ার্ক গুচ্ছ মানবিক,520,ASPECT SERIES,,
ASPECT নেটওয়ার্ক কৃষি ভর্তি গাইড,560,ASPECT SERIES,,
ASPECT নেটওয়ার্ক কৃষি মডেল,210,ASPECT SERIES,,
ASPECT নেটওয়ার্ক কৃষি প্রশ্ন ব্যাংক,390,ASPECT SERIES,,
ASPECT ডিপ্লোমা নার্স,420,ASPECT SERIES,,
ASPECT ভার্সিটি প্রাকটিস বিজ্ঞান,300,ASPECT SERIES,,
নিবন্ধন স্কুল / কলেজ,280,কারেন্ট পাবলিকেশন,,
পুলিশ কন্সটেবল,250,কারেন্ট পাবলিকেশন,,
চলমান বিশ্ব,115,কারেন্ট পাবলিকেশন,,
পরিবার পরিকল্পনা,135,কারেন্ট পাবলিকেশন,,
সমাজ সেবা নিয়োগ,220,কারেন্ট পাবলিকেশন,,
খাদ্য অধিদপ্তর নিয়োগ,180,কারেন্ট পাবলিকেশন,25%,
সাব-ইন্সপেক্টর,235,কারেন্ট পাবলিকেশন,,
স্বা‌স্থ্য সহকারী,225,কারেন্ট পাবলিকেশন,,
এনএসআই নিয়োগ,130,কারেন্ট পাবলিকেশন,,
SPOKEN - I,110,কারেন্ট পাবলিকেশন,,
SPOKEN - II,110,কারেন্ট পাবলিকেশন,,
SPOKEN - III,110,কারেন্ট পাবলিকেশন,,
Math X - Factor,455,ইনফিনিটি,,
Magic Math 6th,530,ইনফিনিটি,25%,
Special Magic Math,10000,ইনফিনিটি,,
All In One Job প্রিপারেশন ,630,ইনফিনিটি,,
Math রিভিশন,120,ইনফিনিটি,,
Job রিটেন ম্যাথ X-Factor,620,ইনফিনিটি,,
নিবন্ধন মডেল,350,ইনফিনিটি,,
BCS প্রশ্নব্যাংক,425,ইনফিনিটি,,
স্থানীয় সরকার,230,ক্যাম্পাস,,
রেলওয়ে,230,ক্যাম্পাস,,
খাদ্য,235,ক্যাম্পাস,,
স্বা‌স্থ্য সহকারী,255,ক্যাম্পাস,,
বিমান বাংলাদেশ,220,ক্যাম্পাস,,
প্রাইমারী শর্ট সাজেশন শাহীন স্যার,110,,,
ম্যাথ,430,সেলফ টিউটর / Self Tutor,,
ইংরেজি,440,সেলফ টিউটর / Self Tutor,,
সলিউশন,60,সেলফ টিউটর / Self Tutor,,
খাদ্য নিয়োগ,220,এক্সিলেন্ট,,
পুলিশ কন্সটেবল,185,এক্সিলেন্ট,,
স্বা‌স্থ্য পরিবার,220,এক্সিলেন্ট,,
পশু চিকিৎসা জালাল,550,জালাল,,জালাল
পশু চিকিৎসা ও কৃত্রিম প্রজনন জালাল,550,জালাল,,জালাল
জাতীয় বিশ্ববিদ্যালয় অর্নাস ভর্তি সহায়িকা - মানবিক শাখা,340,প্রিজম,মানবিক শাখা,
জাতীয় বিশ্ববিদ্যালয় অর্নাস ভর্তি সহায়িকা - বানিজ্য শাখা,340,প্রিজম, বানিজ্য শাখা,
জাতীয় বিশ্ববিদ্যালয় অর্নাস ভর্তি সহায়িকা - বিজ্ঞান শাখা,360,প্রিজম,বিজ্ঞান শাখা,
ক্যাডেট মডেল,800,প্রিজম,,
SOS ইংরেজি,10000,SOS,,
IBA JOB,390,রিসেন্ট পাবলিকেশন,,
ANALOGY,150,রিসেন্ট পাবলিকেশন,,
RECENT JOB,350,রিসেন্ট পাবলিকেশন,,
Recent Bank Job Solution,300,রিসেন্ট পাবলিকেশন,,
ATEO,240,রিসেন্ট পাবলিকেশন,,
BIBM MCQ & WRITTEN,500,রিসেন্ট পাবলিকেশন,,
হিসাব রক্ষক অডিটর,340,রিসেন্ট পাবলিকেশন,,
সহকারি নিয়োগ লিখিত,650,রিসেন্ট পাবলিকেশন,,
